"id","name","quality","level","required_level","item_class","item_subclass","inventory_type","preview_item"
"647","Destiny","EPIC","57","52","Weapon","Sword","TWOHWEAPON",""
"720","Brawler Gloves","RARE","28","23","Armor","Leather","HAND",""
"754","Shortsword of Vengeance","RARE","47","42","Weapon","Sword","WEAPON",""
"776","Vendetta","RARE","31","26","Weapon","Dagger","WEAPON",""
"791","Gnarled Ash Staff","RARE","31","26","Weapon","Staff","TWOHWEAPON",""
"809","Bloodrazor","EPIC","50","45","Weapon","Sword","WEAPON",""
"810","Hammer of the Northern Wind","EPIC","54","49","Weapon","Mace","WEAPON",""
"811","Axe of the Deep Woods","EPIC","57","52","Weapon","Axe","WEAPON",""
"812","Glowing Brightwood Staff","EPIC","54","49","Weapon","Staff","TWOHWEAPON",""
"833","Lifestone","EPIC","56","51","Armor","Miscellaneous","TRINKET",""
"862","Runed Ring","RARE","50","45","Armor","Miscellaneous","FINGER",""
"867","Gloves of Holy Might","EPIC","42","37","Armor","Leather","HAND",""
"868","Ardent Custodian","EPIC","43","38","Weapon","Mace","WEAPON",""
"869","Dazzling Longsword","EPIC","41","36","Weapon","Sword","WEAPON",""
"870","Fiery War Axe","EPIC","40","35","Weapon","Axe","TWOHWEAPON",""
"871","Flurry Axe","EPIC","47","42","Weapon","Axe","WEAPON",""
"872","Rockslicer","RARE","21","16","Weapon","Axe","TWOHWEAPON",""
"873","Staff of Jordan","EPIC","40","35","Weapon","Staff","TWOHWEAPON",""
"888","Naga Battle Gloves","RARE","27","22","Armor","Leather","HAND",""
"890","Twisted Chanter's Staff","RARE","24","19","Weapon","Staff","TWOHWEAPON",""
"934","Stalvan's Reaper","RARE","37","32","Weapon","Axe","WEAPON",""
"935","Night Watch Shortsword","RARE","20","15","Weapon","Sword","WEAPON",""
"936","Midnight Mace","RARE","38","33","Weapon","Mace","WEAPON",""
"937","Black Duskwood Staff","RARE","38","33","Weapon","Staff","TWOHWEAPON",""
"940","Robes of Insight","EPIC","47","42","Armor","Cloth","ROBE",""
"942","Freezing Band","EPIC","52","47","Armor","Miscellaneous","FINGER",""
"943","Warden Staff","EPIC","48","43","Weapon","Staff","TWOHWEAPON",""
"944","Elemental Mage Staff","EPIC","61","56","Weapon","Staff","TWOHWEAPON",""
"1121","Feet of the Lynx","RARE","24","19","Armor","Leather","FEET",""
"1155","Rod of the Sleepwalker","RARE","29","24","Weapon","Staff","TWOHWEAPON",""
"1156","Lavishly Jeweled Ring","RARE","22","17","Armor","Miscellaneous","FINGER",""
"1168","Skullflame Shield","EPIC","59","54","Armor","Shield","SHIELD",""
"1169","Blackskull Shield","EPIC","46","41","Armor","Shield","SHIELD",""
"1203","Aegis of Stormwind","RARE","54","49","Armor","Shield","SHIELD",""
"1204","The Green Tower","EPIC","41","36","Armor","Shield","SHIELD",""
"1263","Brain Hacker","EPIC","60","55","Weapon","Axe","TWOHWEAPON",""
"1265","Scorpion Sting","RARE","39","34","Weapon","Sword","WEAPON",""
"1292","Butcher's Cleaver","RARE","25","20","Weapon","Axe","WEAPON",""
"1315","Lei of Lilies","EPIC","51","46","Armor","Miscellaneous","NECK",""
"1318","Night Reaver","RARE","23","18","Weapon","Axe","TWOHWEAPON",""
"1443","Jeweled Amulet of Cainwyn","EPIC","60","55","Armor","Miscellaneous","NECK",""
"1447","Ring of Saviors","EPIC","46","41","Armor","Miscellaneous","FINGER",""
"1454","Axe of the Enforcer","RARE","27","22","Weapon","Axe","WEAPON",""
"1481","Grimclaw","RARE","25","20","Weapon","Axe","WEAPON",""
"1482","Shadowfang","RARE","24","19","Weapon","Sword","WEAPON",""
"1483","Face Smasher","RARE","21","16","Weapon","Mace","WEAPON",""
"1484","Witching Stave","RARE","22","17","Weapon","Staff","TWOHWEAPON",""
